Part Number,Quantity,Description,,Number of unique parts
197671,10,C1,,37
1759194,10,C2,,
1759194,10,C3,,
2094043,10,C4,,
7569564,10,C5,,
2581081,10,C6,,
2728631,10,C7,,
7569564,10,C8,,
1845748,10,C9,,
7569564,10,C10,,
7569564,10,C11,,
1845748,10,C12,,
2321230,10,C13,,
2547035,10,C14,,
7569564,10,C16,,
1889309,10,CON2,,
2676044,10,D1,,
2400198,10,D2,,
2099227,10,D3,,
2099227,10,D4,,
1431198,10,D5,,
1431198,10,D6,,
1431198,10,D7,,
1596993,10,F1,,
1596993,10,F2,,
1596988,10,F3,,
1596988,10,F4,,
1596988,10,F5,,
2781934,10,IN1,,
1669753,10,L1,,
2667912,10,L2,,
2781934,10,OUT1,,
1516293,10,P1,,
1516293,10,P2,,
1516293,10,P3,,
2554978,10,P4,,
2616757,10,R1,,
1652962,10,R2,,
1652962,10,R3,,
2502671,10,R5,,
2502671,10,R4,,
2502671,10,R6,,
1469877,10,R7,,
1469877,10,R8,,
2502671,10,R9,,
2502671,10,R10,,
2502671,10,R11,,
2668292,10,R12,,
2502671,10,R13,,
2502671,10,R23,,
2060100,10,RN1,,
2060166,10,RV1,,
1838966,10,RV2,,
1469212,10,U1,,
2425127,10,U2,,
2323581,10,U3,,
2099903,10,U4,,
2099903,10,U5,,
2099903,10,U6,,
2368161,10,U7,,
2212059,10,U12,,
2342399,10,U14,,
1611819,10,Y1,,
2723776,10,Cables,,
149968,1,Solder paste,,
